codigo,descricao,apelido
030348,030348-REFORÇO DA LONGARINA v3,030348-REFORÇO DA LONGARINA v3
425187,425187,425187
030993,030993-ENGATE GRADE,030993-ENGATE GRADE
032353,032353 - COMPL. SUPORTE FRONTAL _ CHASSI,032353 - COMPL. SUPORTE FRONTAL _ CHASSI
030317,030317 - LONGARINA,030317 - LONGARINA
426544,426544 - LONGARINA _ CHASSI _ UVA,426544 - LONGARINA _ CHASSI _ UVA
032352,032352A - SUPORTE FRONTAL FURADO _ CHASS,032352A - SUPORTE FRONTAL FURADO _ CHASS
033889,033889 - REFORÇO INTERIOR DO CABEÇÃO,033889 - REFORÇO INTERIOR DO CABEÇÃO
030368,030368 - FECHAM DA TRANSVERSINA,030368 - FECHAM DA TRANSVERSINA
475579,475579 - PLACA DE APOIO CHASSI FT3,475579 - PLACA DE APOIO CHASSI FT3
030645,030645- REFORÇO TRANSV. TRAS. DIANT.,030645- REFORÇO TRANSV. TRAS. DIANT.
032632,032632 - LONGARINA [TANQUE COMPLETO - FTC 4300],032632 - LONGARINA [TANQUE COMPLETO - FTC 4300]
031018,031018 - COLUNA LATERAL ALT 45 MD rev 03,031018 - COLUNA LATERAL ALT 45 MD rev 03
Retângulo geral,Retângulo geral,Retângulo geral
014527,014527 - FECH LAT TAMPA TRAS M09 (10.000) CBHM,014527 - FECH LAT TAMPA TRAS M09 (10.000) CBHM
030388,030388 - COMPLEMENTO BASE MÓVEL,030388 - COMPLEMENTO BASE MÓVEL
031206,031206 - CHAPEAM. FRONTAL _ CAÇAMBA _ CBH,031206 - CHAPEAM. FRONTAL _ CAÇAMBA _ CBH
030334,030334 - LONGARINA [PLATAFORMA - CBH],030334 - LONGARINA [PLATAFORMA - CBH]
460679,460679,460679
409686,409686-TRANSV INTERMEDIARIA CBHM,409686-TRANSV INTERMEDIARIA CBHM
465422,465422.FECH. TRAS. LONG. Plasmadwg,465422.FECH. TRAS. LONG. Plasmadwg
030341,[AJUSTE] 030341 - PISO DIREITO _ PLATAFORMA _ CBHM 3500-4500-5000-8000 MAIOR,[AJUSTE] 030341 - PISO DIREITO _ PLATAFORMA _ CBHM 3500-4500-5000-8000 MAIOR
030339,030339A - PISO ESQUERDO _ PLATAFORMA _ CBHM 3500-5000-8000,030339A - PISO ESQUERDO _ PLATAFORMA _ CBHM 3500-5000-8000
493107,493107 CHAPEAM GRADE LATERAL 45CM CBHM,493107 CHAPEAM GRADE LATERAL 45CM CBHM
033210,033210 - LONGARINA [CHASSI - CBH12 2E],033210 - LONGARINA [CHASSI - CBH12 2E]
032831,032831 - REFORÇO DA LONGARINA [CHASSI - CBH9 M22],032831 - REFORÇO DA LONGARINA [CHASSI - CBH9 M22]
032851,032851 - REFORÇO INFERIOR [TAMPA TRASEIRA CBH9],032851 - REFORÇO INFERIOR [TAMPA TRASEIRA CBH9]
409959,409959PL - COM FURO MAIOR,409959PL - COM FURO MAIOR
034004,034004 - REFORÇO DA LONGARINA [CHASSI - CBH9-2E],034004 - REFORÇO DA LONGARINA [CHASSI - CBH9-2E]
450870,"450870 - LONGARINA _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 6,0T","450870 - LONGARINA _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 6,0T"
425801,425801-GUIA DA PLATAFORMA CBHM,425801-GUIA DA PLATAFORMA CBHM
468745,"468745 - REFORÇO DA PONTA DE EIXO _ EIXO TANDEM _ FA-FTC-CBH-CBHM 4,0-6,0T","468745 - REFORÇO DA PONTA DE EIXO _ EIXO TANDEM _ FA-FTC-CBH-CBHM 4,0-6,0T"
013213,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000","013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000"
032402,"032402 - FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T","032402 - FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T"
460230,"460230 - CANTONEIRA INFERIOR _ TAMPA TRASEIRA 0,6-1,1-1,5M _ CBHM 3500-5000-6000-8000-10000","460230 - CANTONEIRA INFERIOR _ TAMPA TRASEIRA 0,6-1,1-1,5M _ CBHM 3500-5000-6000-8000-10000"
460679,460679,460679
450819,450819 DESENHADO,450819 DESENHADO
030751,030751 - CORPO _ TAMPA LATERAL GRAN-FORR,030751 - CORPO _ TAMPA LATERAL GRAN-FORR
493211,493211,493211
033785,033785 - REFORÇO DOBRADO [GRADE LATERAL,033785 - REFORÇO DOBRADO [GRADE LATERAL
425953,425953 - FECHAMENTO LATERAL _ TAMPA DIAN,425953 - FECHAMENTO LATERAL _ TAMPA DIAN
409820,409820 - Plasma,409820 - Plasma
429764,429764-Plasma,429764-Plasma
031237,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v
032317,032317 - COMPL. FECHAM. DO FUEIRO _ CAÇA,032317 - COMPL. FECHAM. DO FUEIRO _ CAÇA
466578,466578 - FECHAMENTO LATERAL _ TAMPA DIAN,466578 - FECHAMENTO LATERAL _ TAMPA DIAN
032547,"032547 - COLUNA DO FECHAM DIANT _ FA6,0","032547 - COLUNA DO FECHAM DIANT _ FA6,0"
032548,032548 - REFORÇO INFERIOR DIANT _ BAG-CE,032548 - REFORÇO INFERIOR DIANT _ BAG-CE
030544,"030544 - CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T","030544 - CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T"
030384,"030384 - CHAPEAMENTO LATERAL _ CAÇAMBA 1 EIXO _ CBH 5,0-6,0T","030384 - CHAPEAMENTO LATERAL _ CAÇAMBA 1 EIXO _ CBH 5,0-6,0T"
022263,022263 - COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN FORR (M12) CBH,022263 - COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN FORR (M12) CBH
030591,030591 - COM O RECORTE DA LOGO,030591 - COM O RECORTE DA LOGO
485007,485007-ARRUELA LISA  1.1-4-Plasma,485007-ARRUELA LISA  1.1-4-Plasma
025546,025546 - FECHAMENTO DO EIXO [EIXO - F4],025546 - FECHAMENTO DO EIXO [EIXO - F4]
030318,030318 - TRANSVERSINA DIANTEIRA _ CHASSI,030318 - TRANSVERSINA DIANTEIRA _ CHASSI
459690,459690-FECHAMENTO DIANTEIRO IÇAMENTO,459690-FECHAMENTO DIANTEIRO IÇAMENTO
441480,441480-SUPORTE ENGATE IÇAMENTO,441480-SUPORTE ENGATE IÇAMENTO
459252,459252 - Plasma,459252 - Plasma
029678,029678 - TRANSVERSINA TRASEIRA _ CHASSI,029678 - TRANSVERSINA TRASEIRA _ CHASSI
029679,029679 Plasma,029679 Plasma
030318,"030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T","030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T"
468540,468540 - FECHAMENYO FRONTAL F4 6 -ICAM,468540 - FECHAMENYO FRONTAL F4 6 -ICAM
030381,030381 - FIXADOR MACACO,030381 - FIXADOR MACACO
032849,032849 - CHAPEAMENTO SUPERIOR [TAMPA TRASEIRA CBH9],032849 - CHAPEAMENTO SUPERIOR [TAMPA TRASEIRA CBH9]
032457,032457 - LONGARINA _ PLATAF _ UVA M21,032457 - LONGARINA _ PLATAF _ UVA M21
032458,032458 - TRANSVERSINA DIANT _ PLATAF _ UVA M21,032458 - TRANSVERSINA DIANT _ PLATAF _ UVA M21
032459,032459 - TRANSVERSINA INTERM _ PLATAF _ UVA M21,032459 - TRANSVERSINA INTERM _ PLATAF _ UVA M21
440115,440115-Plasma,440115-Plasma
030373,030373 - TRASNV. INTERM. CENTRAL _ CAÇAMBA _ CBH,030373 - TRASNV. INTERM. CENTRAL _ CAÇAMBA _ CBH
016123,016123 - FECHAM LAT EIXO (CEN) F6 SS,016123 - FECHAM LAT EIXO (CEN) F6 SS
426386,426386-Plasma,426386-Plasma
030614,030614 - REFORÇO INTERNO DO ENGATE,030614 - REFORÇO INTERNO DO ENGATE
025886,"025886 - COLUNA INTERMEDIÁRIA DO GIGANTE S3,20M","025886 - COLUNA INTERMEDIÁRIA DO GIGANTE S3,20M"
029665,029665 - TRANSVERSINA TRASEIRA _ PLATAFO,029665 - TRANSVERSINA TRASEIRA _ PLATAFO
031024,031024 - COLUNA _ FECHAMENTO DIANTEIRO (,031024 - COLUNA _ FECHAMENTO DIANTEIRO (
031207,031207 - FECHAM. DO FUEIRO _ CAÇAMBA _ C,031207 - FECHAM. DO FUEIRO _ CAÇAMBA _ C
031017,031017 - FECHAMENTO LATERAL ALT 45 [GRAD,031017 - FECHAMENTO LATERAL ALT 45 [GRAD
450807,450807,450807
025555,025555 - TRANSVERSINA DIANTEIRA [PLATAFO,025555 - TRANSVERSINA DIANTEIRA [PLATAFO
025562,025562 - REFORÇO INF - FECHAMENTO DIANT,025562 - REFORÇO INF - FECHAMENTO DIANT
479500,479500 - TRANSV CENTRAL CHASSI (M98) F4,479500 - TRANSV CENTRAL CHASSI (M98) F4
031060,031060 - FECHAMENTO LATERAL ALT 45 [GRAD,031060 - FECHAMENTO LATERAL ALT 45 [GRAD
031287,031287ACH - CORPO [FUEIRO TRASEIRO ABERT,031287ACH - CORPO [FUEIRO TRASEIRO ABERT
031287,031287BCH - CORPO [FUEIRO TRASEIRO ABERT,031287BCH - CORPO [FUEIRO TRASEIRO ABERT
031248,"031248 - BRAÇO ESTABILIZADOR [EIXO TANDEM - CBH_CBHM 4,0_6,0T]","031248 - BRAÇO ESTABILIZADOR [EIXO TANDEM - CBH_CBHM 4,0_6,0T]"
032553,032553 - COM CODIGO,032553 - COM CODIGO
426301,426301-Plasma,426301-Plasma
030366,030366 - TRANSVERSINA INFERIOR MAIOR [CA,030366 - TRANSVERSINA INFERIOR MAIOR [CA
409960,409960  TRANSVERSINA CENTRAL PLAT CBHM 4,409960  TRANSVERSINA CENTRAL PLAT CBHM 4
031203,031203 - REFORÇO INTERNO DIANTEIRO M19 v,031203 - REFORÇO INTERNO DIANTEIRO M19 v
030373,030373 - TRASNV. INTERM. CENTRAL [CAÇAMB,030373 - TRASNV. INTERM. CENTRAL [CAÇAMB
031045,"031045 - SAPATA MAIOR [CHASSI 1 EIXO - CBH_CBHM 4,0_6,0T]","031045 - SAPATA MAIOR [CHASSI 1 EIXO - CBH_CBHM 4,0_6,0T]"
409741,409741 - SAPATA [CHASSI - CBHM],409741 - SAPATA [CHASSI - CBHM]
494653,"494653 - DOBRADIÇA _ FUEIRO UG-GRAN-FORR TRS LD-LE _ CBH-CBHM 4,0-6,0T","494653 - DOBRADIÇA _ FUEIRO UG-GRAN-FORR TRS LD-LE _ CBH-CBHM 4,0-6,0T"
025484,025484 - TRANSV  INTERMEDIARIA (A PARTIR DE AGOSTO 2013)  CHASSI CBHM,025484 - TRANSV  INTERMEDIARIA (A PARTIR DE AGOSTO 2013)  CHASSI CBHM
030375,030375 - FIXADOR [TAMPA LATERAL - CBH],030375 - FIXADOR [TAMPA LATERAL - CBH]
027552,027552 - TIRA DE AÇO INFERIOR MENOR,027552 - TIRA DE AÇO INFERIOR MENOR
030308,030308 - CANTONEIRA APOIO ROLO INFERIOR EST. BORRACHA,030308 - CANTONEIRA APOIO ROLO INFERIOR EST. BORRACHA
030106,030106 - TIRA DE AÇO INFERIOR MENOR EXTREMIDADE,030106 - TIRA DE AÇO INFERIOR MENOR EXTREMIDADE
018338,018338 - ENGATE S TRAVA - GRADES CBHM,018338 - ENGATE S TRAVA - GRADES CBHM
030336,"030336 - APOIO DA ARTICULAÇAO _ CHASSI DA CAÇAMBA-PLATAFORMA _ CBH-CBHM 4,0T","030336 - APOIO DA ARTICULAÇAO _ CHASSI DA CAÇAMBA-PLATAFORMA _ CBH-CBHM 4,0T"
025742,025742 - FECHAM. TRANSV. SUPERIOR TRAS. - CHASSI F6 SS M14,025742 - FECHAM. TRANSV. SUPERIOR TRAS. - CHASSI F6 SS M14
025243,025243 - ORELHA  ICAMENTO (M98)  FA (NOV13...),025243 - ORELHA  ICAMENTO (M98)  FA (NOV13...)
460680,460680 - TRANSVERSINA CENTRAL [PLATAFORMA - CBHM5000],460680 - TRANSVERSINA CENTRAL [PLATAFORMA - CBHM5000]
450832,450832-PISO DIREITO PLATAF CBHM 6000,450832-PISO DIREITO PLATAF CBHM 6000
018181,018181 - PISO ESQUERDO [PLATAFORMA - CBHM6000],018181 - PISO ESQUERDO [PLATAFORMA - CBHM6000]
025563,"025563 - TRAVESSA SUP - FECHAMENTO DIANT - S4,0-3,2M","025563 - TRAVESSA SUP - FECHAMENTO DIANT - S4,0-3,2M"
031514,031514-reforço da longarina,031514-reforço da longarina
450868,450868 -  SUP COL CENTRAL PLATAF (6000) CBHM,450868 -  SUP COL CENTRAL PLATAF (6000) CBHM
031556,031556 - REFORÇO CENTRAL,031556 - REFORÇO CENTRAL
466050,466050 PL - COMANDO DOS VAROES ,466050 PL - COMANDO DOS VAROES 
030376,030376 - FIXADOR CHAPA LATERAL _ TAMPA L,030376 - FIXADOR CHAPA LATERAL _ TAMPA L
030316,030316 - REFORÇO DO SUPORTE DIANT  M17,030316 - REFORÇO DO SUPORTE DIANT  M17
033929,033929 - CHAPA DE REFORÇO [GAIOLA - FT10,033929 - CHAPA DE REFORÇO [GAIOLA - FT10
032368,032368 - FECHAMENTO LATERAL [TAMPA TRASE,032368 - FECHAMENTO LATERAL [TAMPA TRASE
412661,412661,412661
030105,030105 - TIRA DE AÇO INFERIOR MAIOR EXTREMIDADE,030105 - TIRA DE AÇO INFERIOR MAIOR EXTREMIDADE
030107,030107 - TIRA DE AÇO INFERIOR MÉDIA EXTREMIDADE,030107 - TIRA DE AÇO INFERIOR MÉDIA EXTREMIDADE
027555,027555 - TIRA DE AÇO INFERIOR MAIOR,027555 - TIRA DE AÇO INFERIOR MAIOR
027557,027557 - TIRA DE AÇO INFERIOR MÉDIA [ESTEIRA MÓVEL - COLHEITADEIRA],027557 - TIRA DE AÇO INFERIOR MÉDIA [ESTEIRA MÓVEL - COLHEITADEIRA]
030116,030116 - TIRA DE AÇO INFERIOR MAIOR EXTREMIDADE 2,030116 - TIRA DE AÇO INFERIOR MAIOR EXTREMIDADE 2
030115,030115 - TIRA DE AÇO INFERIOR MEDIA EXTREMIDADE 2,030115 - TIRA DE AÇO INFERIOR MEDIA EXTREMIDADE 2
030117,030117 - TIRA DE AÇO INFERIOR MENOR EXTREMIDADE 2,030117 - TIRA DE AÇO INFERIOR MENOR EXTREMIDADE 2
027761,027761 - TIRANTE LATERAL FURADO CHAPA,027761 - TIRANTE LATERAL FURADO CHAPA
027477,027477- APOIO EXTERNO DA RODA,027477- APOIO EXTERNO DA RODA
029620,029620 - AFASTADOR,029620 - AFASTADOR
029091,029091- TIRANTE MOVIDO DA TRAVA,029091- TIRANTE MOVIDO DA TRAVA
025562,025562-Plasma,025562-Plasma
032818,032818 - REFORÇO INTERNO TRASEIRO [CAÇAM,032818 - REFORÇO INTERNO TRASEIRO [CAÇAM
450819,450819,450819
409753,409753 - SUPORTE TRASEIRO [CHASSI - CBHM],409753 - SUPORTE TRASEIRO [CHASSI - CBHM]
030574,030574-PLACA DE APOIO M17,030574-PLACA DE APOIO M17
025846,"025846 - REFORÇO LATERAL DA PLACA _ 5 RODA _ CBH-CBHM 6,0T","025846 - REFORÇO LATERAL DA PLACA _ 5 RODA _ CBH-CBHM 6,0T"
455337,455337 - Plasma,455337 - Plasma
439990,439990 - Plasma,439990 - Plasma
029964,029964-APOIO DA TAMPA TRAS.-CBH-M16,029964-APOIO DA TAMPA TRAS.-CBH-M16
030694,030694 - ALAVANCA FREIO M17 CBH,030694 - ALAVANCA FREIO M17 CBH
030501,030501- REFORÇO LONGARINA,030501- REFORÇO LONGARINA
453341,453341-SUPORTE DO VARÃO FRENAGEM,453341-SUPORTE DO VARÃO FRENAGEM
032665,032665 - ASSOALHO [GAIOLA KIT INCENDIO - FTC],032665 - ASSOALHO [GAIOLA KIT INCENDIO - FTC]
costela maior,costela maior,costela maior
032806,032806 - COMPLEMENTO DO CHAPEAMENTO [SOBRETAMPA LATERAL CBH9],032806 - COMPLEMENTO DO CHAPEAMENTO [SOBRETAMPA LATERAL CBH9]
029664,"029664 - TRANSVERSINA INTERMEDIARIA N1 E 3 _ PLATAFORMA _ F-FA 4,0-6,0T","029664 - TRANSVERSINA INTERMEDIARIA N1 E 3 _ PLATAFORMA _ F-FA 4,0-6,0T"
031060,031060 - FECHAMENTO LATERAL ALT 45 [GRADE LATERAL - F],031060 - FECHAMENTO LATERAL ALT 45 [GRADE LATERAL - F]
457656,457656 - Plasma,457656 - Plasma
481713,481713-Plasma,481713-Plasma
031223,031223 - PARTE INF. CHAPA TAMPA TRAS. M1,031223 - PARTE INF. CHAPA TAMPA TRAS. M1
013225,013225 - COMPLEMENTO DO CHAPEAMENTO _ TA,013225 - COMPLEMENTO DO CHAPEAMENTO _ TA
031224,031224 - PARTE SUPERIOR CHAPA _ TAMPA TR,031224 - PARTE SUPERIOR CHAPA _ TAMPA TR
033784,033784 - CHAPA DE REFORÇO [GRADE LAT SUP,033784 - CHAPA DE REFORÇO [GRADE LAT SUP
30553,30553,30553
493107,493107,493107
013201,013201 - CHAPEAMENTO [TAMPA TRASEIRA - C,013201 - CHAPEAMENTO [TAMPA TRASEIRA - C
425849,425849 - COMLEM TRANSV TRASEIRA CBHM,425849 - COMLEM TRANSV TRASEIRA CBHM
030341,030341 - PISO DIREITO _ PLATAFORMA _ CBHM 3500-4500-5000-8000,030341 - PISO DIREITO _ PLATAFORMA _ CBHM 3500-4500-5000-8000
030339,030339-PISO ESQ M17,030339-PISO ESQ M17
029669,029669 - LONGARINA [CHASSI - F6],029669 - LONGARINA [CHASSI - F6]
460394,460394 MENOR 2MM,460394 MENOR 2MM
029988,029988-TRANSV.SUPORTE DA 5° RODA-ER4-6 -Plasma,029988-TRANSV.SUPORTE DA 5° RODA-ER4-6 -Plasma
474046,474046-LONGARINA DA 5 RODA,474046-LONGARINA DA 5 RODA
030793,030793-FECHAM. TRAS. LONGARINA-Plasma,030793-FECHAM. TRAS. LONGARINA-Plasma
031237,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v2,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v2
425953,425953 FECHAMENTO LAT GRADE 45CM CBHM,425953 FECHAMENTO LAT GRADE 45CM CBHM
032221,032221 - REFORÇO ESTICADOR EST. MÓVEL,032221 - REFORÇO ESTICADOR EST. MÓVEL
028073,028073 - FECHAMENTO DO ENCAIXE,028073 - FECHAMENTO DO ENCAIXE
032859,032859CH - CORPO [FUEIRO CENTRAL - CBH9],032859CH - CORPO [FUEIRO CENTRAL - CBH9]
034204,034204 - COMPLEMENTO [FUEIRO CENTRAL - CBH9],034204 - COMPLEMENTO [FUEIRO CENTRAL - CBH9]
025740,025740 - FECHAM. TRANSV. SUPORTE BALANCIM - CHASSI F6 SS M14,025740 - FECHAM. TRANSV. SUPORTE BALANCIM - CHASSI F6 SS M14
030589,030589 - PROTEÇÃO DO MACACO,030589 - PROTEÇÃO DO MACACO
031226,031226 - CANTONEIRA TAMPA TRASEIRA,031226 - CANTONEIRA TAMPA TRASEIRA
025665,025665 - ABRACAD TRASEIRA - ICAM (MFI) FA,025665 - ABRACAD TRASEIRA - ICAM (MFI) FA
027757,027757 - CHAPA OLHAL FUSO,027757 - CHAPA OLHAL FUSO
027666,027666 - CHAPA INFERIOR COMPLEMENTO LATERAL,027666 - CHAPA INFERIOR COMPLEMENTO LATERAL
032218,032218 - CANTONEIRA SUPERIOR ESTICADOR ESTEIRA MÓVEL,032218 - CANTONEIRA SUPERIOR ESTICADOR ESTEIRA MÓVEL
027487,027487CH - TRAVESSA TRASEIRA CHAPA [ESTEIRA MÓVEL - MCF M21],027487CH - TRAVESSA TRASEIRA CHAPA [ESTEIRA MÓVEL - MCF M21]
029066,029066- CANTONEIRA EXTERNA 2 X 3,029066- CANTONEIRA EXTERNA 2 X 3
030280,030280 - REFORÇO EST MÓVEL,030280 - REFORÇO EST MÓVEL
027032,027032 - CHAPA VIRADA DO FUEIRO SW2015,027032 - CHAPA VIRADA DO FUEIRO SW2015
028074,028074 - FECHAMENTO ENCAIXE MENOR,028074 - FECHAMENTO ENCAIXE MENOR
027756,027756 - CHAPA DE FECHAMENTO FUSO,027756 - CHAPA DE FECHAMENTO FUSO
030425,"030425- LONGARINA CHASSI SIMPLES SS CBH6,0T 1 EIXO","030425- LONGARINA CHASSI SIMPLES SS CBH6,0T 1 EIXO"
030509,"030509 - TRANSVERSINA INTERMEDIARIA TRASEIRA _ CHASSI 2 EIXOS _ CBH-CBHM 6,0T","030509 - TRANSVERSINA INTERMEDIARIA TRASEIRA _ CHASSI 2 EIXOS _ CBH-CBHM 6,0T"
425965,425965-ENGATE GRADES CBHM,425965-ENGATE GRADES CBHM
031509,031509 - LONGARINA,031509 - LONGARINA
480230,"480230 - HASTE DE TRAÇÃO MENOR  ICAM F4,6","480230 - HASTE DE TRAÇÃO MENOR  ICAM F4,6"
031508,031508 - LONGARINA [CHASSI DA CAÇAMBA - CBH6R],031508 - LONGARINA [CHASSI DA CAÇAMBA - CBH6R]
030316,030316 - REFORÇO DO SUPORTE DIANT  M17  CHASSI  CBHM CBH,030316 - REFORÇO DO SUPORTE DIANT  M17  CHASSI  CBHM CBH
025455,025455 - TRAVA - SUP EIXO CBH-8,025455 - TRAVA - SUP EIXO CBH-8
031229,031229 -  CHAPEAM. FRONTAL FECHAM. DIANT,031229 -  CHAPEAM. FRONTAL FECHAM. DIANT
465793,465793-Plasma,465793-Plasma
tira para prensa,tira para prensa,tira para prensa
33635,33635,33635
032440,032440 - COMPLEMENTO DO FECHAM LAT TRAS _ CAÇAMBA CBH,032440 - COMPLEMENTO DO FECHAM LAT TRAS _ CAÇAMBA CBH
032439,032439 - FECHAMENTO LAT TRAS SEM COMP _ CAÇAMBA CBH,032439 - FECHAMENTO LAT TRAS SEM COMP _ CAÇAMBA CBH
030451,030451 - FECHAMENTO LATERAL _ TAMPA LATERAL _ CBH,030451 - FECHAMENTO LATERAL _ TAMPA LATERAL _ CBH
425953,425953 - FECHAMENTO LATERAL _ TAMPA DIANTEIRA-LATERAL SUPERIOR-INFERIOR 45CM _ CBHM 4500-5000-6000-8000-10000,425953 - FECHAMENTO LATERAL _ TAMPA DIANTEIRA-LATERAL SUPERIOR-INFERIOR 45CM _ CBHM 4500-5000-6000-8000-10000
032317,032317 - COMPL. FECHAM. DO FUEIRO _ CAÇAMBA _ CBH,032317 - COMPL. FECHAM. DO FUEIRO _ CAÇAMBA _ CBH
033120,033120 - FECHAMENTO LONGARINA [TANQUE SIMPLES - FTC],033120 - FECHAMENTO LONGARINA [TANQUE SIMPLES - FTC]
013201,013201 - CHAPEAMENTO [TAMPA TRASEIRA - CBHM5000],013201 - CHAPEAMENTO [TAMPA TRASEIRA - CBHM5000]
031204,031204 - REFORÇO LATERAL DIANTEIRO [CAÇAMBA - CBH],031204 - REFORÇO LATERAL DIANTEIRO [CAÇAMBA - CBH]
025845,025845 - REF INFERIOR DO EIXO - CBHM 6000 2E (M14),025845 - REF INFERIOR DO EIXO - CBHM 6000 2E (M14)
409959,409959 - SUPORTE DA COLUNA   CBHM,409959 - SUPORTE DA COLUNA   CBHM
031484,031484 - LONGARINA _ PLATAFORMA _ CBHM 6000 CAFEEIRA,031484 - LONGARINA _ PLATAFORMA _ CBHM 6000 CAFEEIRA
450790,450790,450790
031017,031017 - FECHAMENTO LATERAL ALT 45 [GRADE TRASEIRA - F],031017 - FECHAMENTO LATERAL ALT 45 [GRADE TRASEIRA - F]
030500,030500-LONGARINA,030500-LONGARINA
028757,028757-REFORÇO DA ARTICULAÇÃO-CBH M16-Plasma,028757-REFORÇO DA ARTICULAÇÃO-CBH M16-Plasma
425965,425965-ENGATE  GRADES CBHM,425965-ENGATE  GRADES CBHM
494495,"494495 - DOBRADIÇA _ TAMPA TRASEIRA UG-GRAN-FORR TRS-0,6-1,1-1,5M _ CBH-CBHM 4,0-6,0T","494495 - DOBRADIÇA _ TAMPA TRASEIRA UG-GRAN-FORR TRS-0,6-1,1-1,5M _ CBH-CBHM 4,0-6,0T"
retagu,"retagulo 4,75","retagulo 4,75"
425760,"425760 - SUPORTE DO CILINDRO _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 4,0-6,0T","425760 - SUPORTE DO CILINDRO _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 4,0-6,0T"
030598,030598 - REFORÇO LATERAL EXTERNO [CAÇAMBA SIMPLES - CBH9 M22],030598 - REFORÇO LATERAL EXTERNO [CAÇAMBA SIMPLES - CBH9 M22]
450856,450856,450856
025743,025743 - SUPORTE FIX. DA PLATAF. - CHASSI F6 CS M14,025743 - SUPORTE FIX. DA PLATAF. - CHASSI F6 CS M14
409959,409959 - SUPORTE DA COLUNA CBHM,409959 - SUPORTE DA COLUNA CBHM
030721,030721-COMPLEMENTO DA LONGARINA,030721-COMPLEMENTO DA LONGARINA
031736,"031736 furo com 40,5","031736 furo com 40,5"
031740,"031740 com furo de 40,5","031740 com furo de 40,5"
031239,031239 - DOBRADIÇA HORIZONTAL M18,031239 - DOBRADIÇA HORIZONTAL M18
031225,031225 - DOBRADIÇA SUPERIOR [TAMPA TRASEIRA ABL],031225 - DOBRADIÇA SUPERIOR [TAMPA TRASEIRA ABL]
031485,031485 [COM RASGO] - LONGARINA [CHASSI - CBHM 6000 CAFEEIRA],031485 [COM RASGO] - LONGARINA [CHASSI - CBHM 6000 CAFEEIRA]
030386,030386 - TRAVA MACACO EXTERNO CBHM  CBH 4T,030386 - TRAVA MACACO EXTERNO CBHM  CBH 4T
475944,475944 Plasma,475944 Plasma
028743,028743 nao oficial - COM FUROS DE 22mm,028743 nao oficial - COM FUROS DE 22mm
447043,"447043 - SUPORTE DO IÇAMENTO _ EIXO DIANTEIRO 2 EIXOS _ F-FTC-CBH-CBHM 4,0-6,0T","447043 - SUPORTE DO IÇAMENTO _ EIXO DIANTEIRO 2 EIXOS _ F-FTC-CBH-CBHM 4,0-6,0T"
033920,033920 - SUPORTE TRASEIRO [CHASSI - CBH-2E RS TANDEM],033920 - SUPORTE TRASEIRO [CHASSI - CBH-2E RS TANDEM]
030424,030424-reforço da longarina,030424-reforço da longarina
030387,030387  BASE MOVEL M17,030387  BASE MOVEL M17
025739,025739 - COMPLEM. TRASV. SUP. TRASEIRO - CHASSI F6 SS M14,025739 - COMPLEM. TRASV. SUP. TRASEIRO - CHASSI F6 SS M14
030727,030727-SUPORTE TRASEIRO INTERNO-Plasma,030727-SUPORTE TRASEIRO INTERNO-Plasma
030444,030444-SUPORTE TRASEIRO-Plasma,030444-SUPORTE TRASEIRO-Plasma
460709,"460709-TRANSV FRONTAL PLAT (3500,5000) CBHM","460709-TRANSV FRONTAL PLAT (3500,5000) CBHM"
446282,"446282-TRANSV MAIOR  ICAM M98 F4,6","446282-TRANSV MAIOR  ICAM M98 F4,6"
446312,"446312-FECHAM COMPL  ICAM F4,6","446312-FECHAM COMPL  ICAM F4,6"
030538,030538 - FECHAMENTO TRAS LONGARINA,030538 - FECHAMENTO TRAS LONGARINA
LADO ESQUERDO ,LADO ESQUERDO ,LADO ESQUERDO 
