codigo,descricao,apelido
035909,035909 - COMPLEMENTO LATERAL [RODA DE MA,035909 - COMPLEMENTO LATERAL [RODA DE MA
035904,035904 - COMPLEMENTO LATERAL [RODA DE MA,035904 - COMPLEMENTO LATERAL [RODA DE MA
035901,035901 - COMPLEMENTO LATERAL [RODA DE MA,035901 - COMPLEMENTO LATERAL [RODA DE MA
026766,026766 - ORELHA DO APOIO DO ACENTO CENTR,026766 - ORELHA DO APOIO DO ACENTO CENTR
494653,494653.PL - DOBRADIÇA _ FUEIRO UG-GRAN-F,494653.PL - DOBRADIÇA _ FUEIRO UG-GRAN-F
026779,026779 - TRAVA DE APERTO,026779 - TRAVA DE APERTO
031225,031225 - DOBRADIÇA SUPERIOR,031225 - DOBRADIÇA SUPERIOR
036020,036020 - CHAPEAMENTO,036020 - CHAPEAMENTO
036015,036015 - CHAPEAMENTO DO FUEIRO,036015 - CHAPEAMENTO DO FUEIRO
036016,036016 - FECHAM. DO FUEIRO,036016 - FECHAM. DO FUEIRO
036045,036045 - FECHAMENTO LATERAL,036045 - FECHAMENTO LATERAL
036041,036041 - CHAPEAMENTO,036041 - CHAPEAMENTO
036023,036023 - COMPLEMENTO DO CHAPEAMENTO,036023 - COMPLEMENTO DO CHAPEAMENTO
032552,032552 - TRANSVERSINA TRASEIRA [PLATAFORMA - CBHM 4500]A,032552 - TRANSVERSINA TRASEIRA [PLATAFORMA - CBHM 4500]A
029219,029219A - ENCAIXE DISCO MAIOR,029219A - ENCAIXE DISCO MAIOR
029221,029221A - ENCAIXE MENOR DO DISCO,029221A - ENCAIXE MENOR DO DISCO
029219,029219B - ENCAIXE DISCO MAIOR,029219B - ENCAIXE DISCO MAIOR
035891,035891 - CORPO,035891 - CORPO
035892,035892 - REFORÇO,035892 - REFORÇO
035893,035893- ORELHA MAIOR DO CILINDRO,035893- ORELHA MAIOR DO CILINDRO
417233,417233 - ARRUELA DE REFORÇO [EIXO BALANCIM - FA2],417233 - ARRUELA DE REFORÇO [EIXO BALANCIM - FA2]
036047,036047 - FLANGE,036047 - FLANGE
030649,030649 - APOIO DA ARTICULAÇÃO [PLATAFORM,030649 - APOIO DA ARTICULAÇÃO [PLATAFORM
025739,025739-COMPLEMENTO TRANSV. SUPERIOR TRAS,025739-COMPLEMENTO TRANSV. SUPERIOR TRAS
409753,409753 - SUPORTE TRASEIRO [CHASSI - CBHM,409753 - SUPORTE TRASEIRO [CHASSI - CBHM
026958,026958,026958
034231,034231 - FECHAMENTO LATERAL [TAMPA LATER,034231 - FECHAMENTO LATERAL [TAMPA LATER
36020,36020,36020
PEÇA PRA CAUÃ,PEÇA PRA CAUÃ,PEÇA PRA CAUÃ
034131,"034131 - BRAÇO ESTABILIZADOR [EIXO TUBO BALANCIM TANDEM - CBH7 R15,5]","034131 - BRAÇO ESTABILIZADOR [EIXO TUBO BALANCIM TANDEM - CBH7 R15,5]"
026749,026749 - REFORCO LATERAL,026749 - REFORCO LATERAL
032693,032693 - TRAVESSA SUPERIOR [GIGANTE FA2A M22]A,032693 - TRAVESSA SUPERIOR [GIGANTE FA2A M22]A
033017,033017 - PISO,033017 - PISO
026817,026817 - COMPLEMENTO CONJUNTO LIMITADOR HORIZONTAL,026817 - COMPLEMENTO CONJUNTO LIMITADOR HORIZONTAL
026818,026818 - CORPO COJUNTO LIMITADOR HORIZONTAL,026818 - CORPO COJUNTO LIMITADOR HORIZONTAL
033263,033263 - REFORÇO PONTA DE EIXO ,033263 - REFORÇO PONTA DE EIXO 
026728,026728CH - FUEIRO CHAPA - CHASSI TNT,026728CH - FUEIRO CHAPA - CHASSI TNT
026804,026804,026804
466566,466566 - CHAPEAMENTO [TAMPA LATERAL INFERIOR - CBHM 3500]A,466566 - CHAPEAMENTO [TAMPA LATERAL INFERIOR - CBHM 3500]A
GRELHA JFY CEMAG,GRELHA JFY CEMAG,GRELHA JFY CEMAG
026866,026866 - CORPO DO SUPORTE DO BEBEDOURO,026866 - CORPO DO SUPORTE DO BEBEDOURO
026867,026867 - GARRA DO SUPORTE BEBEDOURO,026867 - GARRA DO SUPORTE BEBEDOURO
026868,026868 - BASE DO SUPORTE BEBEDOURO,026868 - BASE DO SUPORTE BEBEDOURO
479172,479172 - TRANSV. DIANTEIRA [CHASSI - FA4,479172 - TRANSV. DIANTEIRA [CHASSI - FA4
036066,036066LA - FLANGE,036066LA - FLANGE
032352,032352 - COM MARCAÇAO,032352 - COM MARCAÇAO
415157,415157 - ESQUIA,415157 - ESQUIA
036069,036069 - COLUNA [FECHAMENTO DIANTEIRO - FA5],036069 - COLUNA [FECHAMENTO DIANTEIRO - FA5]
036071,036071 - ABA LATERAL ESQUERDA 1,036071 - ABA LATERAL ESQUERDA 1
036073,036073 - ABA LATERAL ESQUERDA 2,036073 - ABA LATERAL ESQUERDA 2
035528,035528 - CORPO [PROTEÇÃO DA RODA - TRP6000],035528 - CORPO [PROTEÇÃO DA RODA - TRP6000]
030373,030373 - TRASNV. INTERM. CENTRAL [CAÇAMBA - CBH]A,030373 - TRASNV. INTERM. CENTRAL [CAÇAMBA - CBH]A
030456,030456 - TRASNV. INTERM. CENTRALB,030456 - TRASNV. INTERM. CENTRALB
032669,032669 - REFORÇO MAIOR [GAIOLA KIT INCENDIO - FTC]C,032669 - REFORÇO MAIOR [GAIOLA KIT INCENDIO - FTC]C
459434,459434,459434
034148,"034148 - FLANGE [ARO - CBH7 TANDEM R15,5","034148 - FLANGE [ARO - CBH7 TANDEM R15,5"
025539,025539 - REFORÇO LONGARINA-CHASSI F4 M98,025539 - REFORÇO LONGARINA-CHASSI F4 M98
900299,900299 - PERFIL DA CHAPA DE DESGASTE,900299 - PERFIL DA CHAPA DE DESGASTE
036081,036081 - COLUNA [FECHAMENTO DIANTEIRO METALICO ESPECIAL - F6],036081 - COLUNA [FECHAMENTO DIANTEIRO METALICO ESPECIAL - F6]
441880,441880 - PLASMA,441880 - PLASMA
036009,036009 - LONGARINA [CHASSI - FTC4300R TA,036009 - LONGARINA [CHASSI - FTC4300R TA
033945,033945 - CORPO DA BANDEJA [BANDEJA - FT1,033945 - CORPO DA BANDEJA [BANDEJA - FT1
033947,033947 - PLACA PARA ALÇAS [BANDEJA - FT1,033947 - PLACA PARA ALÇAS [BANDEJA - FT1
035528,035528 - CORPO [PROTEÇÃO DA RODA - TRP60,035528 - CORPO [PROTEÇÃO DA RODA - TRP60
494495,494495 - DOBRADIÇA [TAMPA TRASEIRA - CBH,494495 - DOBRADIÇA [TAMPA TRASEIRA - CBH
030348,OP 030348 PLASMA,OP 030348 PLASMA
030348,OP PLASMA 030348 JFY,OP PLASMA 030348 JFY
439277,439277,439277
424109,424109,424109
035795,035795 - SUPORTE U,035795 - SUPORTE U
035058,035058 - LONGARINA 02,035058 - LONGARINA 02
034686,034686 - CHAPA DE FIXAÇÃO P204,034686 - CHAPA DE FIXAÇÃO P204
025602,025602 - CHAPEAMENTO GUIA - EIXO F4-F6,025602 - CHAPEAMENTO GUIA - EIXO F4-F6
036072,036072 - PRESILHA DA ABA LATERAL,036072 - PRESILHA DA ABA LATERAL
036034,036034 - REFORCO INFERIOR [MCF16],036034 - REFORCO INFERIOR [MCF16]
036035,036035 - REFORCO TRIANGULAR [MCF16],036035 - REFORCO TRIANGULAR [MCF16]
202410,20241015,20241015
028017,028017LA - CHAPA INFERIOR DO BRAÇO,028017LA - CHAPA INFERIOR DO BRAÇO
035014,035014 - REFORÇO DA DOBRADIÇA INTEIRIÇO,035014 - REFORÇO DA DOBRADIÇA INTEIRIÇO
494616,494616 - FECHAMENTO SUPERIOR [FUEIRO - C,494616 - FECHAMENTO SUPERIOR [FUEIRO - C
025743,025743 - SUPORTE FIX. DA PLATAF. - CHASS,025743 - SUPORTE FIX. DA PLATAF. - CHASS
025636,025636 - CORPO [FECHAMENTO DIANTEIRO - CARR MELAO],025636 - CORPO [FECHAMENTO DIANTEIRO - CARR MELAO]
